Kundennummer,Datum,Problem,Softwareversion,HardwareSpec
"1001,2026-03-02,""Programmabsturz beim Öffnen größerer Projekte nach Update"",""5.4"",""Windows 11 Pro; AMD Ryzen 7 5800X; 16 GB RAM; Radeon RX 6700 XT"""
"1002,2026-03-03,""Sehr langsame Ladezeiten und geringe Performance beim Öffnen von Projekten"",""nicht angegeben"",""Windows 10; Intel Core i5-8400; 8 GB RAM; NVIDIA GTX 1060"""
"1003,2026-03-04,""Fehler beim PDF-Export durch Speicherzugriffsproblem"",""nicht angegeben"",""Windows 11; Intel Core i7-12700; 32 GB RAM; NVIDIA RTX 3060"""
"1004,2026-03-05,""Programmabsturz beim Speichern nach Softwareupdate"",""nicht angegeben"",""Windows 11 Pro; AMD Ryzen 5 5600X; 16 GB RAM; Radeon RX 6600"""
"1005,2026-03-06,""Sehr langsames Öffnen von Projektdateien"",""nicht angegeben"",""Windows 10; Intel Core i3-10100; 8 GB RAM; Intel UHD Graphics"""
"1006,2026-03-07,""Anwendung friert beim Import großer Datensätze ein"",""nicht angegeben"",""Windows 11; AMD Ryzen 9 5900X; 32 GB RAM; Radeon RX 6700 XT"""
"1007,2026-03-08,""Verzögerte Benutzeroberfläche und langsame Verarbeitung von Eingaben"",""nicht angegeben"",""Windows 10; Intel Core i5-9600K; 16 GB RAM; NVIDIA GTX 1660 Super"""
"1008,2026-03-09,""Programm beendet sich beim gleichzeitigen Öffnen mehrerer Projekte ohne Fehlermeldung"",""nicht angegeben"",""Windows 11; AMD Ryzen 7 7700X; 32 GB RAM; Radeon RX 7800 XT"""
"1009,2026-03-10,""Lange Ladezeiten beim Erstellen von Berichten"",""nicht angegeben"",""Windows 10; Intel Core i5-7400; 8 GB RAM; NVIDIA GTX 1050 Ti"""
"1010,2026-03-11,""Programmabsturz direkt nach dem Login"",""nicht angegeben"",""Windows 11 Pro; AMD Ryzen 5 7600X; 16 GB RAM; Radeon RX 7600"""
