intent,titel,frage,antwort,tags
Lieferstatus,Status der Warenversendung prüfen,Ist die Ware bereits versendet?,"Um den aktuellen Versandstatus Ihrer Bestellung oder Maschine zu ermitteln, benötigen wir Ihre Bestellnummer, die Seriennummer oder Ihre Kundenregisternummer. Sobald uns diese Informationen vorliegen, prüfen wir umgehend, ob die Ware bereits verladen wurde oder sich noch in der Qualitätskontrolle befindet. Im Falle eines bereits erfolgten Versands lassen wir Ihnen die entsprechende Tracking-Nummer zukommen.","Lieferstatus, Versand, Logistik"
Lieferstatus,Status Ihrer Lieferung und Lieferverzug,Wo bleibt meine Lieferung oder warum gibt es einen Verzug?,"Um den aktuellen Status Ihrer Sendung oder die Gründe für eine Verzögerung prüfen zu können, benötigen wir Ihre Bestellnummer, die Seriennummer der Maschine oder Ihre Kundenregisternummer. Sobald uns diese Informationen vorliegen, ermitteln wir umgehend den Verbleib der Ware oder den aktuellen Stand im Versandprozess. Bei bereits erfolgter Übergabe an den Logistikpartner lassen wir Ihnen die Tracking-Nummer nach Erhalt der Systembestätigung zukommen.","Lieferstatus, Versand, Lieferverzug"
Software-Problem,Software-Absturz beim DXF-Import,Warum stürzt die Software beim Import von DXF-Dateien ab?,"Ein Software-Absturz beim DXF-Import kann durch inkompatible Dateistrukturen, komplexe Geometrien oder Überlastungen des Puffers verursacht werden. Bitte prüfen Sie, ob der Fehler bei allen Dateien oder nur bei spezifischen Konstruktionsdaten auftritt und ob eine Fehlermeldung erscheint. Zur technischen Analyse benötigen wir die Seriennummer Ihrer Maschine, die installierte Softwareversion sowie idealerweise einen Screenshot der Fehlermeldung. Geben Sie bitte auch an, ob die Dateien lokal oder über ein Netzwerk gespeichert sind.","Software-Fehler, DXF-Import, Systemstabilität"
Software-Problem,Probleme bei der Software-Installation,Probleme bei der Software-Installation?,"Fehlerhafte Installationen oder abgebrochene Updates können durch unzureichenden Speicherplatz, laufende Hintergrundprozesse oder inkompatible Systemvoraussetzungen verursacht werden. Bitte prüfen Sie vorab die Verfügbarkeit von Festplattenspeicher und stellen Sie sicher, dass keine anderen Prozesse den Vorgang stören. Für eine gezielte Fehleranalyse benötigen wir die Seriennummer Ihrer Maschine, die aktuelle Softwareversion sowie die genaue Fehlermeldung oder das Installations-Logfile.","Software-Installation, Update-Fehler, Support"
Software-Problem,Fehler bei der Software-Aktivierung,Fehler bei der Software-Aktivierung?,"Probleme bei der Aktivierung können durch fehlerhafte Lizenzdaten oder Verbindungsprobleme entstehen. Um die Ursache zu prüfen, benötigen wir die Seriennummer Ihrer Maschine sowie die exakte Softwareversion. Bitte teilen Sie uns zudem die genaue Fehlermeldung mit, die während des Aktivierungsvorgangs erscheint.","Software, Aktivierung, Lizenzierung"
Technische Fehlermeldung,Behebung der Spindel-Übertemperatur,Wie kann die Spindel-Übertemperatur behoben werden?,Prüfen Sie zunächst die Kühlmittelzufuhr auf Blockaden sowie die Lüftungsschlitze und Filter auf Verschmutzungen durch Späne oder Staub. Kontrollieren Sie zudem die Umgebungstemperatur und die Funktion der internen Lüfter. Für eine präzise Fehleranalyse benötigen wir bitte die Seriennummer der Maschine sowie den exakten Fehlercode vom Display.,"Spindel, Übertemperatur, Wartung, Fehlerbehebung"
Technische Fehlermeldung,Fehler im Hydraulikdruck beheben,Was ist bei Fehlern im Hydraulikdruck zu tun?,"Bei Abweichungen im Hydraulikdruck sollten Sie umgehend die Dichtungen und Leitungen auf Leckagen untersuchen sowie das Druckbegrenzungsventil auf seine Funktion prüfen. Um die Ursache präzise eingrenzen zu können, benötigen wir die Seriennummer Ihrer Maschine sowie den exakten Fehlercode vom Display. Bitte gleichen Sie die Einstellungen zudem mit den Spezifikationen im Handbuch ab.","Hydraulik, Fehlermeldung, Wartung"
Technische Fehlermeldung,Behebung des Sensorfehlers 04,Wie wird der Sensorfehler 04 gelöst?,"Der Sensorfehler 04 deutet auf eine Verschmutzung oder einen Defekt des Messsensors hin. Bitte reinigen Sie den Sensor vorsichtig mit Druckluft und kontrollieren Sie die Steckverbindungen auf festen Sitz. Sollte der Fehler weiterhin bestehen, senden Sie uns bitte die Seriennummer Ihrer Maschine zur weiteren Analyse zu.","Sensorfehler, Fehlerbehebung, Wartung"
Ersatzteil-Anfrage,Ersatzteil-Anfrage stellen,"Wie fordere ich ein Ersatzteil an (Angebot, Verfügbarkeit, Lieferzeit)?","Für die Erstellung eines Angebots sowie die Prüfung von Verfügbarkeit und Lieferzeit benötigen wir die Seriennummer Ihrer Maschine und die genaue Artikelnummer oder Bezeichnung des Ersatzteils. Sollte die Artikelnummer nicht vorliegen, hilft uns auch ein Foto des Typenschilds oder der defekten Komponente weiter. Sobald diese Informationen vorliegen, prüfen wir die Kompatibilität und senden Ihnen die gewünschten Details umgehend zu.","Ersatzteil, Angebot, Verfügbarkeit, Lieferzeit"
Wartung,Informationen zu Wartungsintervallen und -durchführung,Welche Informationen benötige ich für die Planung und Durchführung der Wartung meiner Maschine?,"Die Wartungsintervalle richten sich je nach Modell nach den Betriebsstunden oder einem festen Zeitintervall. Um Ihnen den spezifischen Wartungsplan, die benötigten Werkzeuge oder Verschleißteile nennen zu können, benötigen wir zwingend die Seriennummer Ihrer Maschine sowie ggf. die aktuelle Softwareversion. Einfache Routinearbeiten können oft durch eigenes Fachpersonal durchgeführt werden, während komplexe Arbeiten zertifizierte Techniker erfordern. Bitte prüfen Sie zur Orientierung den aktuellen Betriebsstundenzähler an Ihrer Steuerung.","Wartung, Service, Instandhaltung, Wartungsintervalle"
