"customer_request","answer"
"Sehr geehrte Damen und Herren, wir haben am 08.03.2024 eine Bestellung (Nr. 240308-001) für 3 Stück der Schweißnahtüberwachungsanlage SNU-200 aufgegeben. Die Bestellung sollte laut Auftragsbestätigung am 15.03.2024 versendet werden. Bisher ist jedoch nichts bei uns eingetroffen. Könnten Sie bitte den aktuellen Status der Lieferung überprüfen?","Sehr geehrter Herr Kunde, vielen Dank für Ihre Anfrage. Wir haben Ihre Bestellung 240308-001 geprüft. Es scheint zu einer Verzögerung beim Versand gekommen zu sein, da ein benötigtes Bauteil kurzfristig nachbestellt werden musste. Die voraussichtliche Versandtermin ist nun der 22.03.2024. Sie erhalten eine Versandbestätigung mit der Sendungsnummer, sobald die Ware unser Werk verlässt."
"Guten Tag, bei unserer Drehmaschine DM-500 leuchtet seit gestern die Warnmeldung 'Übertemperatur Spindel'. Könnten Sie uns bitte mitteilen, was das bedeutet und welche Schritte wir zur Behebung des Problems unternehmen können?","Sehr geehrter Herr Kunde, die Warnmeldung 'Übertemperatur Spindel' bei der DM-500 deutet darauf hin, dass die Spindel zu heiß geworden ist. Mögliche Ursachen sind eine zu hohe Schnittgeschwindigkeit, ein unzureichender Kühlmittelfluss oder eine defekte Temperaturüberwachung. Bitte prüfen Sie zunächst den Kühlmittelstand und die Funktion der Kühlpumpe. Wenn das Problem weiterhin besteht, notieren Sie die genauen Bearbeitungsparameter und teilen Sie uns diese sowie die Seriennummer der Maschine mit."
"Wir haben im Januar eine Fertigungsstraße FSL-300 bei Ihnen erworben. Seit dem Start der Produktion stellen wir fest, dass die Durchlaufzeit deutlich länger ist als in Ihren technischen Unterlagen angegeben. Wir benötigen hierzu schnellstmöglich Unterstützung.","Sehr geehrter Herr Kunde, wir bedauern zu hören, dass die Durchlaufzeit der FSL-300 nicht Ihren Erwartungen entspricht. Bitte senden Sie uns die Seriennummer der Anlage sowie detaillierte Informationen zu den beobachteten Durchlaufzeiten und den eingesetzten Materialien. Unser Technischer Support wird sich umgehend mit Ihnen in Verbindung setzen, um das Problem zu analysieren."
"Sehr geehrte Damen und Herren, wir benötigen dringend Ersatzteile für unsere Hydraulikpresse HP-150. Konkret suchen wir die Dichtung für den Hauptzylinder (Art.-Nr. 4711-005), zwei neue Manometer (0-100 bar, Anschluss 1/4 Zoll) und einen Satz neuer Filter. Könnten Sie uns bitte ein Angebot zukommen lassen?","Sehr geehrter Herr Kunde, gerne erstellen wir Ihnen ein Angebot für die benötigten Ersatzteile. Die Dichtung (4711-005) kostet 12,50 EUR/Stück, die Manometer (0-100 bar, 1/4 Zoll) 35,00 EUR/Stück und der Filtersatz 45,00 EUR. Die voraussichtliche Lieferzeit beträgt 3-5 Werktage. Bitte teilen Sie uns Ihre Lieferadresse und Ihre Bestellnummer mit."
"Hallo, wir möchten unsere Mitarbeiter in der Bedienung und Wartung der neuen CNC-Fräsmaschine CNC-F500 schulen lassen. Welche Schulungsoptionen bieten Sie an und wie hoch sind die Kosten?","Sehr geehrter Herr Kunde, wir bieten verschiedene Schulungen für die CNC-F500 an: Basisschulungen (1 Tag, 500 EUR pro Person), erweiterte Programmierungsschulungen (2 Tage, 800 EUR pro Person) und spezialisierte Wartungsschulungen (1 Tag, 600 EUR pro Person). Die Schulungen können in unserem Schulungszentrum oder bei Ihnen vor Ort stattfinden (zusätzliche Reisekosten). Detaillierte Informationen finden Sie unter [Link zur Schulungsseite]."
"Guten Tag, wir sind sehr zufrieden mit der Leistung unserer Walzmaschine WZM-800. Die Maschine hat unsere Produktion deutlich effizienter gemacht. Vielen Dank für die gute Qualität!","Sehr geehrter Herr Kunde, vielen Dank für Ihr positives Feedback! Wir freuen uns sehr zu hören, dass die WZM-800 Ihre Produktion verbessert hat. Ihre Zufriedenheit ist unser höchstes Ziel. Bei weiteren Fragen stehen wir Ihnen gerne zur Verfügung."
"Wir haben Probleme mit der Software unseres Steuerungssystems SCS-100. Es kommt immer wieder zu Abstürzen und Fehlermeldungen, insbesondere beim Import von DXF-Dateien. Könnten Sie uns hierzu Support anbieten?","Sehr geehrter Herr Kunde, wir verstehen, dass Abstürze und Fehlermeldungen die Arbeit beeinträchtigen. Bitte teilen Sie uns die genaue Fehlermeldung, die Version der SCS-100 Software und die Größe der DXF-Dateien mit, die zu Problemen führen. Unser Support-Team wird den Fall untersuchen und Ihnen eine Lösung anbieten."
"Ich benötige Informationen zur Wartung unserer Schleifmaschine SM-200. Gibt es einen detaillierten Wartungsplan und welche Spezialwerkzeuge benötigen wir?","Sehr geehrter Herr Kunde, einen detaillierten Wartungsplan für die SM-200 finden Sie im Handbuch, das Sie auf unserer Webseite unter [Link zum Handbuch] herunterladen können. Sie benötigen u.a. einen Drehmomentschlüssel, einen Satz Inbusschlüssel und ein Fettpresse. Im Handbuch sind die benötigten Werkzeuge für die einzelnen Wartungsschritte aufgeführt."
"Hallo, wir haben eine gelieferte CNC-Drehmaschine CDM-600 erhalten, die offensichtlich während des Transports beschädigt wurde. Es gibt deutliche Kratzer und Dellen am Gehäuse. Wie gehen wir am besten vor?","Sehr geehrter Herr Kunde, es tut uns leid zu hören, dass die CDM-600 beschädigt angekommen ist. Bitte senden Sie uns umgehend Fotos der Beschädigungen und der Verpackung sowie Ihre Bestellnummer. Wir werden den Schaden dem Transportunternehmen melden und Ihnen schnellstmöglich eine Lösung anbieten."
"Wir suchen einen Servicetechniker für unsere Verpackungsanlage PVA-400. Die Anlage steht seit gestern und wir können das Problem nicht selbst beheben. Es scheint ein Problem mit dem Bandlauf zu geben.","Sehr geehrter Herr Kunde, wir können Ihnen gerne einen Servicetechniker für die PVA-400 zur Verfügung stellen. Bitte teilen Sie uns die Seriennummer der Anlage und Ihren Standort mit. Wir werden einen Techniker in Ihrer Nähe beauftragen, sich umgehend mit Ihnen in Verbindung zu setzen."
