row_id,date,customer_request,agent_reply,intent_truth,intent,confidence
1,2024-01-01,Brauche Ersatzteil für DM-500. Was kostet ein Antriebsriemen? Und wann lieferbar?,"Guten Tag, für die Beantwortung Ihrer Anfrage zur Lieferzeit und zum Preis des Antriebsriemens für das Modell DM-500 benötigen wir bitte die Seriennummer Ihrer Anlage. Bitte lassen Sie uns diese zukommen, damit wir die Kompatibilität prüfen und die aktuelle Verfügbarkeit in unserem Lager abfragen können.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
2,2024-01-01,Soll ich euch zur Messe einladen? Wir sind mit dem HP-150 dabei. Meldet euch mal.,"Guten Tag. Vielen Dank für das freundliche Angebot. Wir nehmen gerne Kontakt auf, sofern ein konkreter Termin oder ein Ansprechpartner für den Austausch zu den HP-150 Modellen vorliegt. Bitte lassen Sie uns Ihre Kontaktdaten zukommen.",Sonstiges,Sonstiges,1
3,2024-01-02,Sensor Fehler bei DM-500. Maschine hat Seriennr 12345. Software V2.1.,"Guten Tag, vielen Dank für die vollständigen Informationen. Bitte führen Sie eine Kalibrierung der Sensoren gemäß den Anweisungen im Handbuch im Downloadbereich durch. Sollte der Fehler weiterhin bestehen, teilen Sie uns bitte mit, welcher spezifische Sensor (z.B. Position oder Druck) betroffen ist.",Technische Fehlermeldung,Technische Fehlermeldung,0.95
4,2024-01-05,Software stürzt ab bei DXF Import. Hilfe!,"Guten Tag. Um Ihnen bei diesem Problem gezielt helfen zu können, benötigen wir weitere Informationen. Bitte nennen Sie uns die Seriennummer Ihrer Maschine sowie die installierte Softwareversion. Zudem wäre es hilfreich zu wissen, ob eine spezifische Fehlermeldung erscheint, bevor das Programm schließt.",Software-Problem,Software-Problem,1
5,2024-01-05,Garantieanfrage für DM-500. Mechanik klemmt. Seriennr: 443322. Was ist der nächste Schritt?,"Guten Tag. Vielen Dank für die Seriennummer. Wir haben den Fall zur Prüfung an unsere technische Abteilung weitergeleitet. Ein Techniker wird die mechanische Klemmung bewerten. Wir melden uns bei Ihnen, sobald uns eine erste Einschätzung vorliegt, ob es sich um einen Garantiefall handelt.",Garantie-Reklamation,Garantie-Reklamation,1
6,2024-01-06,Lieferverzug DM-500. Was ist da los? Wir planen die Montage für nächste Woche!,"Guten Tag. Ich verstehe, dass die Planungssicherheit für Ihre Montage kritisch ist. Um den Grund für die Verzögerung der DM-500 zu klären, benötige ich bitte Ihre Bestellnummer. Ich werde den Vorgang mit höchster Priorität an unsere Logistikabteilung eskalieren.",Lieferstatus,Lieferstatus,1
7,2024-01-06,"Sehr geehrte Damen und Herren, wir benötigen für unsere CNCF-500 dringend ein neues Spindellager. Könnten Sie uns hierzu bitte ein unverbindliches Angebot zukommen lassen? Die Maschine läuft aktuell nur eingeschränkt.","Guten Tag, vielen Dank für Ihre Anfrage. Um Ihnen ein passgenaues Angebot für das Spindellager der CNCF-500 zu erstellen, benötigen wir bitte die Seriennummer Ihrer Maschine sowie die genaue Artikelnummer des Lagers, falls diese Ihnen vorliegt. Sobald uns diese Daten vorliegen, lassen wir Ihnen die Kalkulation umgehend zukommen.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
8,2024-01-06,"Guten Tag, ich benötige für unsere SNU-200 ein Ersatzteil. Schicken Sie mir bitte Infos dazu.","Guten Tag. Gerne unterstützen wir Sie bei der Ersatzteilbeschaffung für die SNU-200. Um Ihre Anfrage bearbeiten zu können, benötigen wir jedoch weitere Details: Um welches Bauteil handelt es sich genau? Bitte nennen Sie uns die Artikelnummer oder senden Sie uns die Seriennummer der Maschine zu, damit wir die Kompatibilität prüfen können.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
9,2024-01-07,Gibt es Verzögerungen bei der HP-150? Wir brauchen die Maschine bis nächste Woche sonst haben wir ein Problem.,"Guten Tag, wir verstehen die Dringlichkeit Ihres Anliegens. Um den aktuellen Lieferstatus der HP-150 prüfen zu können, benötigen wir bitte Ihre Bestellnummer. Wir werden dann umgehend mit der Logistik klären, ob der Termin nächste Woche eingehalten werden kann.",Lieferstatus,Lieferstatus,0.9
10,2024-01-07,"Guten Tag, wir haben letzte Woche die DM-500 erhalten. Können Sie uns mitteilen, wann ein Techniker für die Inbetriebnahme vorbeikommen kann? Wir müssen die Anlage zeitnah produktiv setzen.","Guten Tag. Gerne unterstützen wir Sie bei der Inbetriebnahme Ihrer DM-500. Damit wir die Kapazitäten prüfen und einen Termin koordinieren können, benötigen wir bitte noch Ihre Seriennummer sowie die dazugehörige Bestellnummer. Sobald uns diese vorliegen, erstellen wir Ihnen einen Terminvorschlag.",Schulung,Schulung,0.7
11,2024-01-08,Fehler bei FSL-300. Druck zu niedrig. Hilfe!,"Guten Tag. Um Ihnen bei dem Druckabfall an der FSL-300 helfen zu können, benötigen wir bitte weitere Informationen. Bitte teilen Sie uns die Seriennummer des Geräts sowie den exakten Wert mit, der auf dem Display angezeigt wird. Prüfen Sie in der Zwischenzeit bitte, ob alle Schlauchverbindungen fest sitzen und keine Leckagen sichtbar sind.",Technische Fehlermeldung,Technische Fehlermeldung,0.95
12,2024-01-08,Wartungsplan für SCS-100 fehlt uns komplett. Bitte schicken.,"Guten Tag. Gerne unterstützen wir Sie. Bitte nennen Sie uns die Seriennummer Ihrer SCS-100, damit wir sicherstellen können, dass wir Ihnen die Dokumentation für die korrekte Maschinenkonfiguration zusenden.",Wartung,Wartung,0.9
13,2024-01-09,"Sehr geehrte Damen und Herren, leider haben wir zur Bestellung der CNCF-500 (ID: 554433) noch keine Versandbestätigung erhalten. Bitte um Statusbericht.","Sehr geehrte Damen und Herren, vielen Dank für Ihre Nachricht. Ich habe die Bestellung 554433 geprüft. Die CNCF-500 befindet sich derzeit in der Qualitätskontrolle vor dem Versand. Wir gehen davon aus, dass der Versand innerhalb der nächsten zwei Werktage erfolgt. Sie erhalten dann umgehend eine Bestätigung.",Lieferstatus,Lieferstatus,1
14,2024-01-09,Brauche Angebot für Ersatzteil zu DM-500. Art-Nr 88293. Wie lange Lieferzeit?,"Hallo, vielen Dank für Ihre Nachricht. Wir prüfen derzeit die Verfügbarkeit des Artikels 88293 für das Modell DM-500. Wir melden uns zeitnah bei Ihnen mit der aktuellen Lieferzeit und einem entsprechenden Angebot.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
15,2024-01-09,Wie oft muss die HP-150 gewartet werden? Wir haben die Maschine seit 2 Jahren im Einsatz und sind uns unsicher bezüglich der Intervalle.,Guten Tag. Die Wartungsintervalle der HP-150 richten sich nach den Betriebsstunden und nicht primär nach dem Alter der Maschine. Bitte prüfen Sie die Betriebsstundenzähler an Ihrem Gerät. Die genauen Zeiträume und Schwellenwerte sind in der Wartungsmatrix Ihres Handbuchs im Downloadbereich hinterlegt.,Wartung,Wartung,0.95
16,2024-01-09,"Sehr geehrte Damen und Herren, an unserer DM-500 Maschine ist heute Morgen der Hauptantrieb ausgefallen. Da das Gerät erst sechs Monate alt ist, gehe ich von einem Garantiefall aus. Wie ist das weitere Vorgehen?","Guten Tag. Es tut uns leid zu hören, dass die DM-500 einen Defekt aufweist. Um den Vorgang prüfen zu können, benötigen wir bitte die Seriennummer der Maschine sowie ein kurzes Video oder eine Fehlerbeschreibung des Ausfalls. Sobald uns diese Daten vorliegen, leiten wir die Prüfung Ihres Garantieanspruchs ein.",Garantie-Reklamation,Garantie-Reklamation,1
17,2024-01-09,Wir haben die FSL-300 bekommen (Bestell-Nr: 88273-X) aber keiner weiß wie man die Software bedient. Schicken Sie uns ein Training?,"Guten Tag, vielen Dank für die Angabe der Bestellnummer. Wir unterstützen Sie gerne mit einer Software-Schulung für die FSL-300. Wir prüfen derzeit die Verfügbarkeit unserer Trainer und lassen Ihnen zeitnah Terminvorschläge sowie eine Kostenaufstellung zukommen.",Schulung,Schulung,1
18,2024-01-10,"Hallo, ich habe noch keine Versandbestätigung für die FSL-300 bekommen, obwohl die Bestellung schon vor zwei Wochen rausging. Ist das korrekt?","Guten Tag, vielen Dank für Ihre Anfrage. Bitte entschuldigen Sie die Verzögerung bei der Benachrichtigung. Ich werde den Status Ihrer FSL-300 sofort in unserem Logistiksystem abgleichen. Damit ich den Vorgang direkt zuordnen kann, senden Sie mir bitte kurz Ihre Bestellnummer zu.",Lieferstatus,Lieferstatus,0.95
19,2024-01-10,"Sehr geehrte Damen und Herren, an unserer DM-500 tritt seit heute Morgen wiederholt die Warnung 'Übertemperatur Spindel' auf. Wir müssen den Produktionslauf dringend fortsetzen. Bitte um schnelle Rückmeldung.","Guten Tag. Dass die Temperaturwarnung an Ihrer DM-500 auftritt, ist ärgerlich. Bitte prüfen Sie zunächst, ob die Kühlmittelzufuhr frei ist und die Lüftungsschlitze nicht verstopft sind. Damit wir die Ursache genauer eingrenzen können, benötigen wir bitte Ihre Seriennummer sowie den aktuellen Wartungsstand der Spindelkühlung.",Technische Fehlermeldung,Technische Fehlermeldung,1
20,2024-01-10,Wann kommt das nächste Software-Update für die HP-150? Die aktuelle Version macht beim DXF-Import nur Probleme.,"Guten Tag. Informationen zu kommenden Software-Releases können Sie jederzeit in unserem Downloadbereich einsehen. Um zu prüfen, ob für Ihr spezifisches Modell bereits ein Korrektur-Update vorliegt, nennen Sie uns bitte die Seriennummer Ihrer HP-150 sowie die derzeit genutzte Versionsnummer.",Software-Problem,Software-Problem,0.95
21,2024-01-10,DXF Import Fehlgeschlagen bei DM-500. Was tun?,"Guten Tag. Um Ihnen eine Lösung anbieten zu können, benötigen wir nähere Informationen: Erhalten Sie eine spezifische Fehlermeldung beim Import? Bitte senden Sie uns zudem die Seriennummer der DM-500 und die Softwareversion zu.",Software-Problem,Software-Problem,0.95
22,2024-01-10,SCS-100 Motor läuft heiß. Garantieanspruch vorhanden?,"Guten Tag. Um den Garantieanspruch für den Motor der SCS-100 zu prüfen, benötigen wir bitte die Seriennummer der Maschine sowie die aktuelle Betriebsstundenzahl. Bitte stellen Sie zudem sicher, dass alle Wartungsintervalle gemäß dem Handbuch im Downloadbereich eingehalten wurden.",Garantie-Reklamation,Garantie-Reklamation,0.9
23,2024-01-11,Haben Sie die FSL-300 schon verschickt? Keine Info erhalten bisher.,"Guten Tag. Damit wir den Versandstatus der FSL-300 für Sie abrufen können, benötigen wir bitte Ihre Bestellnummer oder die Seriennummer der Maschine.",Lieferstatus,Lieferstatus,1
24,2024-01-11,Die SCS-100 braucht neue Filter. Was kostet der Satz und wie schnell geht das?,Guten Tag. Gerne bieten wir Ihnen einen Satz neuer Filter für die SCS-100 an. Bitte teilen Sie uns zur eindeutigen Identifizierung die Seriennummer Ihrer Maschine mit. Im Anschluss erhalten Sie das Angebot inklusive der Lieferzeit.,Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
25,2024-01-12,"Spindel läuft unruhig, Warnung kommt alle 10 Min. FSL-300. Keine Serinnr zur hand.","Guten Tag, um die Unruhe der Spindel an der FSL-300 untersuchen zu können, benötigen wir zwingend die Seriennummer der Maschine. Bitte prüfen Sie in der Zwischenzeit, ob die Spindel auf ungewöhnliche Vibrationen oder Geräusche reagiert und ob die Schmierung ordnungsgemäß erfolgt.",Technische Fehlermeldung,Technische Fehlermeldung,0.9
26,2024-01-12,"Unsere SCS-100 Software stürzt ständig ab, sobald wir versuchen, komplexe Geometrien zu öffnen. Das geht so nicht weiter, wir verlieren Zeit. Bitte um Lösung.","Guten Tag. Das beschriebene Verhalten deutet eventuell auf eine Überlastung des Puffers oder eine Inkompatibilität der Dateistruktur hin. Bitte prüfen Sie, ob der Fehler auch bei weniger komplexen Dateien auftritt. Für eine tiefergehende Diagnose benötigen wir zudem die Seriennummer Ihres Geräts.",Software-Problem,Software-Problem,1
27,2024-01-12,HP-150 defekt. Keine Ahnung warum. Hilfe!,"Guten Tag. Um Ihnen helfen zu können, benötigen wir Informationen zum Fehlerbild. Bitte nennen Sie uns die Seriennummer der HP-150 und beschreiben Sie, was genau passiert (oder nicht passiert), wenn Sie das Gerät einschalten. Ohne diese Daten können wir keine Prüfung einleiten.",Garantie-Reklamation,Technische Fehlermeldung,0.7
28,2024-01-13,"Lieferstatus SNU-200, Art 992-00. Wo steckts?","Guten Tag. Wir schauen nach, wo sich Ihre SNU-200 aktuell befindet. Bitte geben Sie uns zur eindeutigen Identifizierung zusätzlich zur Artikelnummer noch Ihre Bestellnummer oder die Kundenregisternummer an.",Lieferstatus,Lieferstatus,1
29,2024-01-13,"Hallo, ist die Dichtung für SCS-100 (Art-Nr: 44092) aktuell verfügbar? Wir brauchen die sofort!",Guten Tag. Wir prüfen umgehend den Lagerbestand der Dichtung mit der Artikelnummer 44092 für das Modell SCS-100. Wir melden uns in Kürze mit einer Rückmeldung zur Verfügbarkeit und der voraussichtlichen Versanddauer bei Ihnen.,Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
30,2024-01-13,"Sehr geehrte Damen und Herren, bei der Implementierung der neuen Software auf unseren DM-500 Maschinen treten beim Import von DXF-Daten wiederholt Abstürze auf. Dies beeinträchtigt unseren Produktionsablauf erheblich. Wir bitten um eine schnelle Lösung.","Guten Tag. Wir bedauern die Unannehmlichkeiten in Ihrem Produktionsablauf. Für eine technische Analyse benötigen wir eine Liste der betroffenen Maschinen (Seriennummern) sowie die exakte Softwareversion. Bitte prüfen Sie auch, ob die Abstürze bei allen DXF-Dateien oder nur bei spezifischen Konstruktionsdaten auftreten.",Software-Problem,Software-Problem,1
