Kategorie;Anfrage;Antwort
Versand & Bestellung;Ich habe gestern im ENDI-Onlineshop einen Druckluftkompressor bestellt. Wann erfolgt die Lieferung?;Vielen Dank für Ihre Bestellung. Der Versand Ihres Druckluftkompressor ist für die nächsten 24 Stunden geplant. Die Sendungsnummer erhalten Sie automatisch per E-Mail.
Versand & Bestellung;Ich habe noch keine Versandbestätigung zu meiner Bestellung erhalten.;Bitte entschuldigen Sie die Verzögerung. Wir prüfen den Status Ihrer Bestellung umgehend und melden uns zeitnah bei Ihnen.
Technische Störung;Unsere Förderanlage zeigt plötzlich eine Fehlermeldung im Betrieb.;Vielen Dank für Ihre Meldung. Bitte notieren Sie den Fehlercode und schalten Sie die Maschine zur Sicherheit ab. Unser technischer Support kontaktiert Sie zeitnah.
Technische Störung;Die Verpackungsmaschine stoppt während der Produktion ohne erkennbaren Grund.;Um Folgeschäden zu vermeiden, empfehlen wir einen sofortigen Betriebsstopp. Bitte senden Sie uns die Seriennummer, damit wir den Fall analysieren können.
Garantie & Reklamation;Der gelieferte CNC-Fräsmaschine ist beschädigt angekommen.;Das tut uns leid. Bitte senden Sie uns Fotos des Schadens sowie Ihre Bestellnummer. Wir organisieren umgehend einen Ersatz.
Garantie & Reklamation;Wie melde ich einen Garantiefall für unsere Industriesauger?;Einen Garantiefall können Sie über unser Onlineformular oder per E-Mail melden. Bitte halten Sie dazu die Seriennummer bereit.
Ersatzteile & Service;Wir benötigen ein Ersatzteil für unsere Schaltschrank.;Gerne helfen wir Ihnen weiter. Bitte teilen Sie uns die Seriennummer der Anlage mit, damit wir das passende Ersatzteil identifizieren können.
Ersatzteile & Service;Können wir einen Wartungstermin für die Kühlsystem vereinbaren?;Selbstverständlich. Bitte nennen Sie uns Ihre bevorzugten Termine sowie den Standort der Anlage.
Lob & Feedback;Ich möchte mich für den schnellen Support bedanken.;Vielen Dank für Ihr positives Feedback. Wir freuen uns sehr, dass Sie mit unserem Service zufrieden sind.
Lob & Feedback;Die Qualität der neuen IoT-Modul überzeugt uns sehr.;Herzlichen Dank für Ihre Rückmeldung. Schön, dass unsere Lösung Ihren Erwartungen entspricht.
Versand & Bestellung;Ich habe gestern im ENDI-Onlineshop einen Thermopresse bestellt. Wann erfolgt die Lieferung?;Vielen Dank für Ihre Bestellung. Der Versand Ihres Thermopresse ist für die nächsten 24 Stunden geplant. Die Sendungsnummer erhalten Sie automatisch per E-Mail.
Versand & Bestellung;Ich habe noch keine Versandbestätigung zu meiner Bestellung erhalten.;Bitte entschuldigen Sie die Verzögerung. Wir prüfen den Status Ihrer Bestellung umgehend und melden uns zeitnah bei Ihnen.
Technische Störung;Unsere Steuerungsmodul zeigt plötzlich eine Fehlermeldung im Betrieb.;Vielen Dank für Ihre Meldung. Bitte notieren Sie den Fehlercode und schalten Sie die Maschine zur Sicherheit ab. Unser technischer Support kontaktiert Sie zeitnah.
Technische Störung;Die Absauganlage stoppt während der Produktion ohne erkennbaren Grund.;Um Folgeschäden zu vermeiden, empfehlen wir einen sofortigen Betriebsstopp. Bitte senden Sie uns die Seriennummer, damit wir den Fall analysieren können.
Garantie & Reklamation;Der gelieferte Schweißanlage ist beschädigt angekommen.;Das tut uns leid. Bitte senden Sie uns Fotos des Schadens sowie Ihre Bestellnummer. Wir organisieren umgehend einen Ersatz.
Garantie & Reklamation;Wie melde ich einen Garantiefall für unsere Förderband?;Einen Garantiefall können Sie über unser Onlineformular oder per E-Mail melden. Bitte halten Sie dazu die Seriennummer bereit.
Ersatzteile & Service;Wir benötigen ein Ersatzteil für unsere Druckluftkompressor.;Gerne helfen wir Ihnen weiter. Bitte teilen Sie uns die Seriennummer der Anlage mit, damit wir das passende Ersatzteil identifizieren können.
Ersatzteile & Service;Können wir einen Wartungstermin für die Hydraulikpresse vereinbaren?;Selbstverständlich. Bitte nennen Sie uns Ihre bevorzugten Termine sowie den Standort der Anlage.
Lob & Feedback;Ich möchte mich für den schnellen Support bedanken.;Vielen Dank für Ihr positives Feedback. Wir freuen uns sehr, dass Sie mit unserem Service zufrieden sind.
Lob & Feedback;Die Qualität der neuen Verpackungsmaschine überzeugt uns sehr.;Herzlichen Dank für Ihre Rückmeldung. Schön, dass unsere Lösung Ihren Erwartungen entspricht.
Versand & Bestellung;Ich habe gestern im ENDI-Onlineshop einen CNC-Fräsmaschine bestellt. Wann erfolgt die Lieferung?;Vielen Dank für Ihre Bestellung. Der Versand Ihres CNC-Fräsmaschine ist für die nächsten 24 Stunden geplant. Die Sendungsnummer erhalten Sie automatisch per E-Mail.
Versand & Bestellung;Ich habe noch keine Versandbestätigung zu meiner Bestellung erhalten.;Bitte entschuldigen Sie die Verzögerung. Wir prüfen den Status Ihrer Bestellung umgehend und melden uns zeitnah bei Ihnen.
Technische Störung;Unsere Schaltschrank zeigt plötzlich eine Fehlermeldung im Betrieb.;Vielen Dank für Ihre Meldung. Bitte notieren Sie den Fehlercode und schalten Sie die Maschine zur Sicherheit ab. Unser technischer Support kontaktiert Sie zeitnah.
Technische Störung;Die Kühlsystem stoppt während der Produktion ohne erkennbaren Grund.;Um Folgeschäden zu vermeiden, empfehlen wir einen sofortigen Betriebsstopp. Bitte senden Sie uns die Seriennummer, damit wir den Fall analysieren können.
Garantie & Reklamation;Der gelieferte RFID-Scanner ist beschädigt angekommen.;Das tut uns leid. Bitte senden Sie uns Fotos des Schadens sowie Ihre Bestellnummer. Wir organisieren umgehend einen Ersatz.
Garantie & Reklamation;Wie melde ich einen Garantiefall für unsere IoT-Modul?;Einen Garantiefall können Sie über unser Onlineformular oder per E-Mail melden. Bitte halten Sie dazu die Seriennummer bereit.
Ersatzteile & Service;Wir benötigen ein Ersatzteil für unsere Thermopresse.;Gerne helfen wir Ihnen weiter. Bitte teilen Sie uns die Seriennummer der Anlage mit, damit wir das passende Ersatzteil identifizieren können.
Ersatzteile & Service;Können wir einen Wartungstermin für die Roboterarm vereinbaren?;Selbstverständlich. Bitte nennen Sie uns Ihre bevorzugten Termine sowie den Standort der Anlage.
Lob & Feedback;Ich möchte mich für den schnellen Support bedanken.;Vielen Dank für Ihr positives Feedback. Wir freuen uns sehr, dass Sie mit unserem Service zufrieden sind.
Lob & Feedback;Die Qualität der neuen Absauganlage überzeugt uns sehr.;Herzlichen Dank für Ihre Rückmeldung. Schön, dass unsere Lösung Ihren Erwartungen entspricht.
Versand & Bestellung;Ich habe gestern im ENDI-Onlineshop einen Schweißanlage bestellt. Wann erfolgt die Lieferung?;Vielen Dank für Ihre Bestellung. Der Versand Ihres Schweißanlage ist für die nächsten 24 Stunden geplant. Die Sendungsnummer erhalten Sie automatisch per E-Mail.
Versand & Bestellung;Ich habe noch keine Versandbestätigung zu meiner Bestellung erhalten.;Bitte entschuldigen Sie die Verzögerung. Wir prüfen den Status Ihrer Bestellung umgehend und melden uns zeitnah bei Ihnen.
Technische Störung;Unsere Druckluftkompressor zeigt plötzlich eine Fehlermeldung im Betrieb.;Vielen Dank für Ihre Meldung. Bitte notieren Sie den Fehlercode und schalten Sie die Maschine zur Sicherheit ab. Unser technischer Support kontaktiert Sie zeitnah.
Technische Störung;Die Hydraulikpresse stoppt während der Produktion ohne erkennbaren Grund.;Um Folgeschäden zu vermeiden, empfehlen wir einen sofortigen Betriebsstopp. Bitte senden Sie uns die Seriennummer, damit wir den Fall analysieren können.
Garantie & Reklamation;Der gelieferte Förderanlage ist beschädigt angekommen.;Das tut uns leid. Bitte senden Sie uns Fotos des Schadens sowie Ihre Bestellnummer. Wir organisieren umgehend einen Ersatz.
Garantie & Reklamation;Wie melde ich einen Garantiefall für unsere Verpackungsmaschine?;Einen Garantiefall können Sie über unser Onlineformular oder per E-Mail melden. Bitte halten Sie dazu die Seriennummer bereit.
Ersatzteile & Service;Wir benötigen ein Ersatzteil für unsere CNC-Fräsmaschine.;Gerne helfen wir Ihnen weiter. Bitte teilen Sie uns die Seriennummer der Anlage mit, damit wir das passende Ersatzteil identifizieren können.
Ersatzteile & Service;Können wir einen Wartungstermin für die Industriesauger vereinbaren?;Selbstverständlich. Bitte nennen Sie uns Ihre bevorzugten Termine sowie den Standort der Anlage.
Lob & Feedback;Ich möchte mich für den schnellen Support bedanken.;Vielen Dank für Ihr positives Feedback. Wir freuen uns sehr, dass Sie mit unserem Service zufrieden sind.
Lob & Feedback;Die Qualität der neuen Kühlsystem überzeugt uns sehr.;Herzlichen Dank für Ihre Rückmeldung. Schön, dass unsere Lösung Ihren Erwartungen entspricht.
Versand & Bestellung;Ich habe gestern im ENDI-Onlineshop einen RFID-Scanner bestellt. Wann erfolgt die Lieferung?;Vielen Dank für Ihre Bestellung. Der Versand Ihres RFID-Scanner ist für die nächsten 24 Stunden geplant. Die Sendungsnummer erhalten Sie automatisch per E-Mail.
Versand & Bestellung;Ich habe noch keine Versandbestätigung zu meiner Bestellung erhalten.;Bitte entschuldigen Sie die Verzögerung. Wir prüfen den Status Ihrer Bestellung umgehend und melden uns zeitnah bei Ihnen.
Technische Störung;Unsere Thermopresse zeigt plötzlich eine Fehlermeldung im Betrieb.;Vielen Dank für Ihre Meldung. Bitte notieren Sie den Fehlercode und schalten Sie die Maschine zur Sicherheit ab. Unser technischer Support kontaktiert Sie zeitnah.
