date,customer_request,agent_reply,topic,topic_probability,theme
2023-01-15,"Hallo, ich habe am 02.01.2023 eine DM-500 bestellt. Bisher keine Versandbestätigung erhalten. Wo bleibt meine Maschine?","Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Wir prüfen gerne den Status Ihrer Bestellung. Bitte geben Sie uns Ihre Bestellnummer an, damit wir den Vorgang schnellstmöglich nachvollziehen können. Sobald wir die Bestellnummer haben, teilen wir Ihnen den aktuellen Stand mit.",10,1.0,Lieferung & Bestellung
2023-01-22,Hat meine Bestellung SNU-200 schon das Werk verlassen? Ich warte schon lange.,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Um den Versandstatus Ihrer Bestellung SNU-200 zu überprüfen, benötigen wir Ihre Bestellnummer. Bitte teilen Sie uns diese mit.  Sie finden die Bestellnummer auch in Ihrer Auftragsbestätigung.",9,0.22535526698085548,Wartung & Service
2023-02-03,Ich benötige dringend ein Ersatzteil für meine FSL-300. Es handelt sich um die Spindel (Art.-Nr. 4711). Können Sie mir ein Angebot machen und wie lange dauert die Lieferung?,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Gerne erstellen wir Ihnen ein Angebot für die Spindel (Art.-Nr. 4711) für Ihre FSL-300. Bitte teilen Sie uns die Seriennummer Ihrer Maschine mit, um sicherzustellen, dass wir das korrekte Ersatzteil liefern.  Die aktuelle Lieferzeit für Spindeln beträgt ca. 7-10 Werktage.",2,1.0,Lieferung & Bestellung
2023-02-18,Wo finde ich Ersatzteile für die SCS-100? Und wie lange geht die Lieferung?,"Sehr geehrte Damen und Herren, Ersatzteile für die SCS-100 finden Sie in unserem Online-Shop unter [Link zum Shop]. Alternativ können Sie uns die benötigten Artikelnummern nennen, dann erstellen wir Ihnen ein Angebot. Die Lieferzeit beträgt je nach Verfügbarkeit ca. 5-7 Werktage.",2,1.0,Lieferung & Bestellung
2023-03-08,Meine CNCF-500 zeigt eine Übertemperaturwarnung. Was kann ich tun?,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Eine Übertemperaturwarnung kann verschiedene Ursachen haben. Bitte überprüfen Sie zunächst die Kühlung und Lüftung der Maschine.  Geben Sie uns bitte die genaue Fehlermeldung und die Seriennummer der Maschine an, damit wir Ihnen weiterhelfen können.",5,1.0,Sonstiges
2023-03-22,Fehler an der Maschine - Druck zu hoch! Modell: HP-150,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Ein zu hoher Druck an der HP-150 kann auf ein Problem im Hydrauliksystem hindeuten.  Bitte überprüfen Sie zunächst den Ölstand und die Filter.  Für eine detaillierte Fehleranalyse benötigen wir die Seriennummer Ihrer Maschine und eine genaue Beschreibung des Fehlers.",4,0.06815958902877839,Ersatzteile & Technik
2023-04-05,Software stürzt ständig ab.  CNCF-500.  Gibt es ein Update?,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Software-Abstürze können verschiedene Ursachen haben. Bitte überprüfen Sie zunächst, ob Sie die aktuelle Software-Version installiert haben.  Informationen zu Updates finden Sie im Downloadbereich unserer Website. Bitte geben Sie uns die genaue Software-Version an, die Sie verwenden.",1,0.8492354303974068,Software & IT
2023-04-19,DXF Import funktioniert nicht mehr in der Software. Was tun?,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Probleme beim DXF-Import können an der DXF-Datei selbst liegen oder an Einstellungen in der Software. Bitte stellen Sie sicher, dass die DXF-Datei den aktuellen Standards entspricht und versuchen Sie, eine andere DXF-Datei zu importieren.  Bitte geben Sie uns die verwendete Softwareversion an.",7,0.2038091800130416,Software & IT
2023-05-02,Wann ist die nächste Wartung für die DM-500 fällig? Wo finde ich den Wartungsplan?,"Sehr geehrte Damen und Herren, der Wartungsplan für die DM-500 ist im Handbuch im Downloadbereich unserer Website verfügbar.  Die Intervalle hängen von der Nutzung der Maschine ab.  Bitte überprüfen Sie die Betriebsstunden und richten Sie sich nach den Empfehlungen im Wartungsplan.",9,1.0,Wartung & Service
2023-05-16,Benötige Spezialwerkzeug für Wartung SCS-100. Wo bestellen?,"Sehr geehrte Damen und Herren, Spezialwerkzeuge für die SCS-100 können Sie in unserem Online-Shop bestellen.  Bitte geben Sie die genaue Bezeichnung des benötigten Werkzeugs an. Sie finden eine Liste der benötigten Werkzeuge auch im Wartungshandbuch.",12,1.0,Wartung & Service
2023-06-09,Meine Maschine ist innerhalb der Garantiezeit defekt. Was muss ich tun?,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Bitte kontaktieren Sie unseren Garantieabteilung unter Angabe der Seriennummer, des Kaufdatums und einer genauen Beschreibung des Defekts.  Wir werden den Fall prüfen und Ihnen mitteilen, welche Schritte erforderlich sind.",14,1.0,Garantie & Reklamation
2023-06-27,"Reklamation: FSL-300 defekt, gekauft am 15.03.2023","Sehr geehrte Damen und Herren, vielen Dank für Ihre Reklamation. Bitte senden Sie uns eine detaillierte Fehlerbeschreibung und die Seriennummer der Maschine zu. Wir prüfen dann, ob der Defekt unter die Garantie fällt und wie wir vorgehen können.",3,0.36412412879740313,Garantie & Reklamation
2023-07-12,Ich bräuchte eine Schulung für die Inbetriebnahme der SNU-200.,"Sehr geehrte Damen und Herren, wir bieten regelmäßige Schulungen für die Inbetriebnahme der SNU-200 an.  Die aktuellen Termine und Preise finden Sie auf unserer Website im Bereich Schulungen.  Alternativ können wir auch eine individuelle Schulung vor Ort anbieten.",0,1.0,Schulung & Inbetriebnahme
2023-07-28,Wo finde ich Infos zum Training für die CNCF-500?,"Sehr geehrte Damen und Herren, Informationen zu unseren Trainingsprogrammen für die CNCF-500 finden Sie auf unserer Website im Bereich Schulungen. Dort finden Sie auch die aktuellen Termine und Preise.",0,1.0,Schulung & Inbetriebnahme
2023-08-04,Lieferstatus DM-500 + Rechnung bitte!,"Sehr geehrte Damen und Herren, wir prüfen den Lieferstatus Ihrer DM-500 und senden Ihnen umgehend die Rechnung zu. Bitte teilen Sie uns Ihre Bestellnummer mit, um den Vorgang zu beschleunigen.",-1,0.0,Lieferung & Bestellung
2023-08-20,"Spindel defekt, Ersatzteil FSL-300, und wann ist die nächste Wartung fällig?","Sehr geehrte Damen und Herren, wir erstellen Ihnen gerne ein Angebot für die Ersatzspindel für Ihre FSL-300.  Zusätzlich können wir Ihnen den Zeitpunkt der nächsten Wartung anhand der Seriennummer Ihrer Maschine ermitteln. Bitte geben Sie uns diese an.",3,0.20787121027824515,Garantie & Reklamation
2023-09-11,Fehlermeldung: Hydraulikdruck zu niedrig - HP-150,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Ein niedriger Hydraulikdruck kann verschiedene Ursachen haben. Bitte überprüfen Sie den Ölstand und die Filter. Für eine detaillierte Analyse benötigen wir die Seriennummer Ihrer Maschine.",4,0.1560792581256399,Ersatzteile & Technik
